Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
1325,"When you have an urgent message concerning the safety of a vessel, airplane or any other means, then you have to use:",MAYDAY,SECURITE,PAN-PAN ,SOS,B,
1326,"Whenever a true bearing of a charted object is obtained and thereby have plotted this bearing on a nautical chart, you will establish a _______.",Fix,Line of Position,Cross bearing,Estimated position,B,
1327,"Whenever there is a passage of an occluded front, what will happen to the temperature?",Rises rapidly,Depends on whether warm type or cold type occlusion,Drops rapidly,Remains about the same,B,
1328,Where is the pivot point of a towboat with a tow ahead?,One-third the length of the combined unit forward of the towboat,One-third the length of the combined unit back from the head,At the head of the towboat,One-half the length of the combined unit,B,
1329,Where would you find information about a vessel reporting system for a port which you are about to enter?,Ocean Passages for the World.,Admiralty List of Radio Signals.,International Code of Signals.,Mariner's Handbook.,B,
1330,Which action should the GMDSS radio operator take in a distress situation when embarking in survival craft?,Communicate via Inmarsat-C from the survival craft.,Switch on EPIRB and SART immediately and leave on.,Notify RCC (rescue Coordination Center) through VHF DSC with portable equipment.,Switch on EPIRB and SART manually prior to launching and remain aboard vessel in distress.,B,
1331,Which chart symbol indicates that the bottom is coral?,R,Co,Cl,Sh,B,
1332,Which daymark has no lateral significance?,Square; top half green and bottom half red,Black and white diamond,Red triangle,Green square,B,
1333,Which effect does speed through the water have on a vessel which is underway in shallow water?,A decrease in the speed results in a decrease in steering response and maneuverability,An increase in speed results in the stern sucking down lower than the bow,An increase in speed results the vessel rising on an even plane,A decrease in speed results in the vessel sucking down on an even plane,B,
1334,Which general weather conditions should you expect to find in a low pressure system?,Fair weather,Precipitation and cloudiness,Scattered clouds at high elevations,Gradual clearing and cooler temperatures,B,
1335,Which is a characteristic of the weather preceding an approaching warm front?,Gusty winds,Steadily falling barometric pressure,Decreasing relative humidity,Clearing skies,B,
1336,Which is NOT and advantage of the Williamson Turn?,"In large vessel (VLCC) much of the headway will be lost, due partly to size of the vessels submerged portion of the hull, thereby requiring little astern maneuvering. ","When the turn is completed, the vessel will not be on a reciprocal course but is nearly on her original track line",The initial actions are taken at well defined points and reduce the need for individual judgement,The turn will not return the vessel to the mans location in the shortest possible time,B,
1337,Which kind of conditions would you observe as the eye of a storm (the vortex) passes over your vessel's position?,"Flat calm seas, heavy rain, light winds, and an extremely low barometer","Huge waves approaching from all directions, clearing skies, light winds, and an extremely low barometer","Flat calm seas, heavy rain, light winds, and high pressure","Huge waves approaching from all directions, clearing skies, light winds, and high pressure",B,
1338,"Which list of clouds is in sequence, from highest to lowest in the sky?","Altostratus, cirrostratus, stratus","Cirrostratus, altostratus, stratus","Stratus, cirrostratus, altostratus","Altostratus, stratus, cirrostratus",B,
1339,Which nautical charts are intended for coastwise navigation outside of outlying reefs and shoals?,Approach charts,Coastal charts,General charts,Sailing charts,B,
1340,Which of the following countries does not use IALA Region B buoyage system?,South Korea,Australia,Jamaica,Japan,B,
1341,Which of the following data must ECDIS be able to record at one-minute intervals?,Estimated time of arrival,Course made good history,Speed through the water ,Shaft RPM,B,
1342,Which of the following dimensions is CORRECT on the signal shown by a vessel constrained by her draft displaying a black cylinder?,measuring 0.3m in diameter and 1.2m high,measuring 0.6m in diameter and 1.2m high,measuring 0.6m in diameter and 1.2m high,measuring 0.3m in radius and 1.5m high,B,
1343,Which of the following is a performance standard for the display of SENC information?,The smaller the wavelength is the weaker the signal,The selected safety contour is displayed with greater emphasis than other contours,"When a chart is first displayed, the Standard Display at the smallest scale is presented.",The smaller the wavelength is the more intense radiation is,B,
1344,Which of the following is mandatory equipment that must be connected to ECDIS?,Radar/ARPA,"Positional navigation sensors (e.g., GPS)",Track control (autopilot),AIS ,B,
1345,Which of the following is NOT a form of precipitation?,Rain,Frost,Sleet,Snow,B,
1346,Which of the following is the anchor's scope to be used during anchoring operation depends upon?,All of the choices,Nature of the holding ground,The water density,The ratio of ship's draft to water depth,B,
1347,Which of the following refers to the direction of celestial body from an observer on board ship?,Fixes,Azimuth ,LOP (Line of Position),Bearing,B,
1348,Which of the following situations is NOT covered under the rules?,A sailboat is approaching a fishing vessel,Three vessels are approaching,Two vessels are on a crossing situation,The vessel at anchor,B,
1349,Which of the following smoke signals can be given off by a vessel in distress or in need of assistance?,Green colored smoke,Orange colored smoke,Black smoke,Blue smoke,B,
1350,Which of the following statement is TRUE?,"""Seaplane"" includes non-displacement craft","""Vessel"" includes seaplanes",A vessel fishing with trolling lines is a vessel engaged in fishing,"Fishing vessel is a vessel ""restricted in her ability to maneuver"" due to her work",B,
1351,Which of the listed reflects the statement that ECDIS only supports the mariner in performing navigational tasks?,"Without official updated ENC data for the intended voyage, ECDIS does not replace paper charts.",Make navigation more efficient. ,Determine true bearing and distance between two geographical points.,All of the choices,B,
1352,Which of these is NOT a meteorological classification of an air mass?,Tropical continental,Equatorial maritime,Polar continental,Tropical maritime,B,
1353,"Which RADAR operation is caused by the upper layer of warm, dry air over a surface of cold, moist air?",Sub-refraction,Super-refraction,Propagation,Normal refraction,B,
1354,"Which signal would be used by a shore rescue unit to indicate ""Landing here highly dangerous""?",The firing of a white star signal,Horizontal motion with a white flag,Vertical motion of a white light,"Code letter ""K"" by blinker light",B,
