Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1126,What safety precautions must you take when maneuvering on a towing hook? ,Lash the hook closed so it does not open accidentally.,Clear the afterdeck and fantail of personnel.,The towing winch engine must be running.,The engines must be operated on the slow bell.,B,
1127,What shall be conducted during a fire and boat drill?,Alllifeboatequipment shall be examined.,All watertight doors in the vicinity of the drill shall be operated.,Fire pumps shall be started and all exterior outlets opened.,all of the choices,B,
1128,"What should be designated as Oil tankers of 20,000 tons deadweight and above but less than 30,000 deadweight NOT fitted with SBT,PL:",Crude tanker,Crude oil/product tanker,Oil tanker,Product carrier,B,
1129,What standard mathematical formula is commonly used to calculate a vessels water plane area for stability purposes?,Standard Logarithmic Rule,Simpsons Rule,Reynolds Number Rule,Pythagorean Rule,B,
1130,What term is listed on a Material Safety Data Sheet (MSDS) to describe a chemical that can produce life-threatening or seriously disabling health hazards? ,Recommended toxicity,High toxicity,Low toxicity,Moderate toxicity,B,
1131,What type of shackle is used for most towing connections? ,Heart shaped shackles,Safety shackles,Round pin anchor shackles,Screw pin shackles,B,
1132,What type of vent system would a barge of acrylonitrile has? ,Open,Pressure-vacuum,Rupture disk,Safety relief,B,
1133,What would you consult to determine the number of persons required on duty while loading a cargo of leaded gasoline on your tanker?,46 CFR Part 15 (Manning),Oil Transfer Procedures Manual,Certificate of Inspection,IOPP Certificate,B,
1134,Whatleadershipstyle tends to extrinsically motivate employees on a contingent reward system where the focus is on outcomes?,Adaptiveleadership,Transformational leadership,Transformational Leadership,Developmentalleadership,B,
1135,"When a rescuer discovers a burn victim in the vicinity of electrical equipment or wiring, his first step is to:",remove the person from the vicinity of the electrical equipment or wiring  ,shutdown electrical power in the area,flush water over any burned area of the victim,apply ointment to the burned area of the victim,B,
1136,"When a ship sags, what kind of stresses are set up on deck?",Sheering,Compressive,Tensile,Bending,B,
1137,"When abandoning ship, after launching the motorlifeboatyou should __________.",go only with the direction of the sea,stay in the immediate area,go one direction until fuel runs out,plot course for nearest land,B,
1138,"When administering artificial respiration, it is of the utmost importance to:",use the mouth-to- mouth method,clear airways,use rhythmic pressure method,know all approved methods,B,
1139,"When artificial respiration is being given to an adult that shows indications of having a pulse, it should be administered:",4 to 6 times per minute,12 to 15 times per minute,20 to 30 times per minute,at least 30 times per minute,B,
1140,"When at sea in an inflatable liferaft, the greatest danger in cold temperatures is:",asphyxiation due to keeping the canopy closed,hypothermia caused by the cold temperature,collapsing of the raft due to the cold temperature,starvation,B,
1141,"When carrying out firefighting operations, the team should not perform the following, except:",Search and rescue operations in a water filled environment are correctly conducted as a member of a  firefighting team in accordance with accepted firefighting practice,Interior fires are extinguished using appropriate firefighting equipment and procedures as a member of a firefighting team in accordance with accepted firefighting practice ,Lifeline signals are correctly used during exterior firefighting operations,A compartment on fire filled with high expansion foam is correctly entered using frogman breathing equipment donned over the firefighting vest,B,
1142,"When chipping rust on a vessel, the MOST important piece of safety gear is __________. ",gloves,goggles,a hard hat,a long sleeve shirt,B,
1143,"When looking for IMO regulations on vessel watertight integrity, the information will be found in which of the following documents? ",ISM manuals,SOLAS,CFRs,MARPOL,B,
1144,"When no wind or waves affecting your vessel, the center of gravity of a listed vessel is vertically aligned above the:",Original vertical centerline,Center of Buoyancy,Center of flotation,Metacentric Height,B,
1145,"When pilot cylinder pressure is used as a means to release the CO2 from a fixed fire extinguishing system consisting of four storage cylinders, the number of pilot cylinders shall be at least:",1,2,3,4,B,
1146,"When pilot cylinder pressure is used to initialize the release of CO2 from a fixed fire extinguishing system containing four storage cylinders, what would be the minimum number of pilot cylinders required in this installation?",1,2,3,4,B,
1147,"When removing the cap from a sounding tube on a vessel, the sound of air escaping indicates.",The tank is full,The tank may be partially flooded,The tank level has dropped,The tank is completely flooded,B,
1148,"When the height of the metacenter is the same as the height of the center of gravity, the upright equilibrium position is:",stable,neutral,positive,negative,B,
1149,"When treating a person for shock, you should wrap the victim in warm coverings to:",decrease body heat,preserve present body heat,avoid self-inflicted wounds caused by spastic movement,protect the person from injury during transportation,B,
1150,"When you see the victims chest rises during mouth-to-mouth resuscitation, it indicates that you should:",push downward on the chest to force the air out,remove your mouth from his to let him exhale naturally,seal his mouth to keep the air in his lungs,apply pressure on the abdomen to force the air out,B,
