Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
909,The moisture equilibrium chart can be used to determine the:,absolute moisture content of the air surrounding a hygroscopic cargo when moisture equilibrium exists,dew point temperature that the air surrounding a hygroscopic commodity will have when in moisture equilibrium with that commodity,temperature at which moisture equilibrium will occur in a cargo hold containing a hygroscopic cargo,enthalpy of the air surrounding a hydroscopic cargo which is in moisture equilibrium with the cargo,B,
910,The most frequent cause of fruit carried as a refrigerated cargo being infected at the discharge port is:,leaks in the ships refrigeration system,cleaning of the cargo spaces is not done properly,improper precooling of the cargo spaces,carriage at the wrong temperature,B,
911,The part of a windlass which physically engages the chain during hauling or paying out is the:,devil's claw,wildcat,bull gear,cat head,B,
912,"The present draft is 8.20 m fwd and 8.60 m aft. You want to load at your maximum load draft of 8.88 m. If the TPC at this draft is 26, how much cargo remains to be loaded?","1,228 tons","1,248 tons","1,238 tons","1,218 tons",B,
913,The pre-wash procedure for ship carrying non-solidifying substances which have a viscosity equal or greater than 25 mPa at 20 degrees Celsius in hot water wash of at least:,80 deg C,60 deg C,100 deg C,120 deg C,B,
914,The primary purpose of stud in the anchor chain is to prevent the chain from:,elongating ,kinking  ,breaking ,distorting  ,B,
915,The principal reason for cargo segregation is to:, allow space for additional cargo,keep apart cargo that should not be mixed, allow ventilation,maintain stability,B,
916,The ratio of the amount of water vapor actually in the air to the amount that would be in the air if the air is saturated is:,absolute humidity,relative humidity,dew point,specific humidity,B,
917,The roll of the ship being in phase with the action of the waves is termed as __________.,synchronized heeling,synchronous rolling,phasing of rolling,rolling in phase,B,
918,The safe working load (SWL) of wire rope with a safety factor of 6 is what percent of its strength? ,10%,17%,50%,80%,B,
919,"The ship displacing 17,622 tonnes draws 8.786 m at a water density of 1.019. If TPC is 25.86, find the draft at sea.",8.735 m,8.745 m,8.838 m,8.627 m,B,
920,The shipping papers for the products being carried in your tankship are NOT required to contain the __________.,name of the consignee(s),exact quantity of the cargoes,grades of the cargoes,location of the delivery point(s),B,
921,"The ship's freeboard, after corrections have been made to the Daft Tabular Freeboard value is called __________",summer freeboard,assigned freeboard,tabulated freeboard,moulded freeboard,B,
922,The stowage factor is the:,number of types of cargo per hold, volume per unit of weight,weight allowed for deck loading,weight per unit,B,
923,The tendency of a grade B product to vaporize is indicated by its:,convection index,flash point,ignition temperature,flammable range,B,
924,"The Trim and Stability booklet provided by the shipbuilder to the owners contains the following technical data, except:",General particulars of the ship and General Arrangement Plan,cross curves stability such as GM and Deadweight curves, Inclining experiment report and its results,Example conditions of loading ,B,
925,"The true mean draft of the vessel is 6.18 m, LBP 164 m and LCF 76 m FOAP. Find the draft aft at the markings, 6 m FOAP, if the trim is 1.34 m by the stern.",6.800 m,6.752 m,6.773 m,6.572 m,B,
926,"The true mean draft of the vessel is 6.25 m, LBP 164 m and LCF 88 m FOAP. Find the draft forward if the trim is 1.26 m by the head.",5.666 m,6.834 m,6.844 m,6.734 m,B,
927,The vertical component of a shift of solid bulk cargo may be large enough to reduce GM sufficiently to cause a ________________.,neutral condition,loll situation,tender condition,cranky condition,B,
928,The vertical distance measured from the upper edge of the deckline to the waterline is called:,freeboard deck,freeboard,deckline,statutory freeboard,B,
929,The vessel will experienced hogging if the Mean Weight Moment is __________ the Mean Bouyancy Moment.,less than,greater than,equal than,above,B,
930,The vessels structure foreside the collision bulkhead is stiffened to resist:,hogging and sagging,panting and racking,water pressure,panting and pounding,B,
931,The weight of liquefied petroleum gas vapors as compared to air is:,lighter,heavier,variable,the same,B,
932,The welds used to attach stiffeners to a plate are known as:,butt welds,fillet welds,place welds,seam welds,B,
933,The wooden plug fitted tightly in the vent of a damaged tank may prevent the tank from:,water to egress from the tank,filling completely,develop free surface moments,collapsing,B,
934,"There are two tanks, one each side of the ship and the level of water is controlled by a pump acting in response to a gyro controlled roll sensing system.",flume tank,active tanks,passive stabilizing tanks,top side tanks,B,
935,There is tensile stress in the A - Strake  section if weight is concentrated on _____________,tanks numbered 1 and 7 if there are 7 tanks,tank no. 4 if there are 7 tanks,"tanks numbered 5, 6 and 7 if there are 7 tanks","tanks numbered 1, 2 and 3 if there are 7 tanks",B,
936,This condition arises when the ship's natural rolling period equals the period of encounter of the waves.,equalization,synchronism,beam seas,rolling period worsens,B,
937,This is known as the lowest temperature at which a liquid will give off sufficient vapors to form a flammable mixture with air.,Boiling point,Flash point,Viscosity point,Toxic point,B,
938,"To determine whether the ship complies with the requirements of ""Structural Strength and Stability of the Ship"", what shall be tested by the surveyor appointed by the Assigning Authority?",draft and displacement surveys,inclining test,actual and visual inspection of all strength members,structural strength test by hydraulic means,B,
939,"To ensure a container is structurally sound, what test can be used as part of a checking procedure?",Torch test,Daylight test,Hose test,Airtight test,B,
940,"To insure proper seating when closing a valve on a tank, the valve should be:",closed against the stop and the locking pin inserted,"closed, opened a half turn, and then closed again",set up as tight as possible by hand,set up tight using a valve wrench,B,
941,"To measure equivalent units, how long is the standard container used?",3 meters,6 meters,5 meters,7 meters,B,
942,"To prevent the line from fraying as soon as it passes over the side of the vessel, what should you do?",Worm that part of the line.,Cover it with chafing gear.,Splice that part of the line.,  Install a cleat.,B,
